Date,Baseline,AU & AD & S
2020-04-13,-44700.0,-32580.0
2020-04-14,-42170.0,-32580.0
2020-04-15,-44830.0,-35240.0
2020-04-16,-46180.0,-35240.0
2020-04-17,-41570.0,-30630.0
2020-04-20,-45940.0,-30630.0
2020-04-21,-47660.0,-32350.0
2020-04-22,-47210.0,-32350.0
2020-04-23,-47200.0,-32340.0
2020-04-24,-47010.0,-32340.0
2020-04-27,-42140.0,-27470.0
2020-04-28,-41990.0,-27470.0
2020-04-29,-35950.0,-21430.0
2020-04-30,-40050.0,-21430.0
2020-05-01,-42700.0,-24080.0
2020-05-04,-45020.0,-24080.0
2020-05-05,-47140.0,-26200.0
2020-05-06,-47320.0,-26200.0
2020-05-07,-42630.0,-21510.0
2020-05-08,-39040.0,-21510.0
2020-05-11,-40430.0,-22900.0
2020-05-12,-43640.0,-22900.0
2020-05-13,-45280.0,-24540.0
2020-05-14,-42290.0,-24540.0
2020-05-15,-39150.0,-21400.0
2020-05-18,-31350.0,-21400.0
2020-05-19,-33830.0,-23880.0
2020-05-20,-28280.0,-23880.0
2020-05-21,-30370.0,-25970.0
2020-05-22,-30180.0,-25970.0
2020-05-26,-27250.0,-23040.0
2020-05-27,-26670.0,-23040.0
2020-05-28,-31450.0,-27820.0
2020-05-29,-30900.0,-27820.0
2020-06-01,-29430.0,-26350.0
2020-06-02,-29450.0,-26350.0
2020-06-03,-26020.0,-22920.0
2020-06-04,-24510.0,-22920.0
2020-06-05,-23380.0,-21790.0
2020-06-08,-20920.0,-21790.0
2020-06-09,-24310.0,-25180.0
2020-06-10,-26020.0,-25180.0
2020-06-11,-35560.0,-34720.0
2020-06-12,-32710.0,-34720.0
2020-06-15,-31120.0,-33130.0
2020-06-16,-29760.0,-33130.0
2020-06-17,-30550.0,-33920.0
2020-06-18,-29830.0,-33920.0
2020-06-19,-33850.0,-37940.0
2020-06-22,-32280.0,-37940.0
2020-06-23,-31610.0,-37270.0
2020-06-24,-36130.0,-37270.0
2020-06-25,-36840.0,-37980.0
2020-06-26,-39100.0,-37980.0
2020-06-29,-36680.0,-35560.0
2020-06-30,-36690.0,-35560.0
2020-07-01,-35190.0,-34060.0
2020-07-02,-36020.0,-34060.0
2020-07-06,-33770.0,-31810.0
2020-07-07,-34570.0,-31810.0
2020-07-08,-31540.0,-28780.0
2020-07-09,-31390.0,-28780.0
2020-07-10,-28860.0,-26250.0
2020-07-13,-31980.0,-26250.0
2020-07-14,-29540.0,-23810.0
2020-07-15,-27300.0,-23810.0
2020-07-16,-28770.0,-25280.0
2020-07-17,-29550.0,-25280.0
2020-07-20,-30410.0,-26140.0
2020-07-21,-29580.0,-26140.0
2020-07-22,-29170.0,-25730.0
2020-07-23,-30080.0,-25730.0
2020-07-24,-30590.0,-26240.0
2020-07-27,-31890.0,-26240.0
2020-07-28,-32020.0,-26370.0
2020-07-29,-32590.0,-26370.0
2020-07-30,-32540.0,-26320.0
2020-07-31,-31260.0,-26320.0
2020-08-03,-31850.0,-26910.0
2020-08-04,-30910.0,-26910.0
2020-08-05,-20590.0,-16590.0
2020-08-06,-17380.0,-16590.0
2020-08-07,-18270.0,-17480.0
2020-08-10,-19410.0,-17480.0
2020-08-11,-17710.0,-15779.99999999997
2020-08-12,-16410.0,-15779.99999999997
2020-08-13,-17240.0,-16609.99999999994
2020-08-14,-17670.0,-16609.99999999994
2020-08-17,-18830.0,-17769.99999999994
2020-08-18,-19280.0,-17769.99999999994
2020-08-19,-20430.0,-18919.99999999994
2020-08-20,-20080.0,-18919.99999999994
2020-08-21,-20760.0,-19599.99999999994
2020-08-24,-17510.0,-19599.99999999994
2020-08-25,-18410.0,-20499.99999999994
2020-08-26,-16020.0,-20499.99999999994
2020-08-27,-14470.0,-18949.99999999994
2020-08-28,-12660.0,-18949.99999999994
2020-08-31,-16330.0,-22619.99999999994
2020-09-01,-14650.0,-22619.99999999994
2020-09-02,-12810.0,-20779.99999999994
2020-09-03,-14960.0,-20779.99999999994
2020-09-04,-16210.0,-22029.99999999994
2020-09-08,-14000.0,-22029.99999999994
2020-09-09,-14840.0,-22869.99999999994
2020-09-10,-14980.0,-22869.99999999994
2020-09-11,-16450.0,-24339.99999999994
2020-09-14,-16950.0,-24339.99999999994
2020-09-15,-16960.0,-24349.99999999994
2020-09-16,-16110.0,-24349.99999999994
2020-09-17,-17980.0,-26219.99999999994
2020-09-18,-19570.0,-26219.99999999994
2020-09-21,-22790.0,-29439.99999999994
2020-09-22,-20990.0,-29439.99999999994
2020-09-23,-24920.0,-33369.99999999994
2020-09-24,-25710.0,-33369.99999999994
2020-09-25,-24200.0,-31859.99999999994
2020-09-28,-22210.0,-31859.99999999994
2020-09-29,-22800.0,-32449.99999999994
2020-09-30,-24120.0,-32449.99999999994
2020-10-01,-24890.0,-33219.99999999994
2020-10-02,-25650.0,-33219.99999999994
2020-10-05,-24830.0,-32399.99999999994
2020-10-06,-27270.0,-32399.99999999994
2020-10-07,-25290.0,-30419.99999999994
2020-10-08,-25110.0,-30419.99999999994
2020-10-09,-23220.0,-28529.99999999994
2020-10-12,-23230.0,-28529.99999999994
2020-10-13,-19240.0,-24539.99999999994
2020-10-14,-21610.0,-24539.99999999994
2020-10-15,-20840.0,-23769.99999999994
2020-10-16,-21390.0,-23769.99999999994
2020-10-19,-23970.0,-26349.99999999994
2020-10-20,-23250.0,-26349.99999999994
2020-10-21,-21570.0,-24669.99999999994
2020-10-22,-20640.0,-24669.99999999994
2020-10-23,-19850.0,-23879.99999999994
2020-10-26,-24140.0,-23879.99999999994
2020-10-27,-24890.0,-24629.99999999994
2020-10-28,-29730.0,-24629.99999999994
2020-10-29,-26660.0,-21559.99999999994
2020-10-30,-26950.0,-21559.99999999994
2020-11-02,-28070.0,-22679.99999999994
