Date,Baseline,OBV & RSI & AU & AD & S
2021-08-30,,31780.0
2021-08-31,,33100.0
2021-09-01,,35280.0
2021-09-02,,33660.0
2021-09-03,,32800.0
2021-09-07,,36140.0
2021-09-08,,36950.0
2021-09-09,,37710.0
2021-09-10,,35920.0
2021-09-13,,36780.0
2021-09-14,,34200.0
2021-09-15,,36210.0
2021-09-16,,35140.0
2021-09-17,,35270.0
2021-09-20,,30410.0
2021-09-21,,22970.0
2021-09-22,,25450.0
2021-09-23,,28050.0
2021-09-24,,27800.0
2021-09-27,,30060.0
2021-09-28,,26320.0
2021-09-29,,24480.0
2021-09-30,,20970.0
2021-10-01,,27810.0
2021-10-04,,25260.0
2021-10-05,,26410.0
2021-10-06,,27280.0
2021-10-07,,29510.0
2021-10-08,,28540.0
2021-10-11,,25320.0
2021-10-12,,24930.0
2021-10-13,,24760.0
2021-10-14,,26210.0
2021-10-15,,28260.0
2021-10-18,,22940.0
2021-10-19,,22980.0
2021-10-20,,22350.0
2021-10-21,,23140.0
2021-10-22,,21220.0
2021-10-25,,23810.0
2021-10-26,,23840.0
2021-10-27,,21350.0
2021-10-28,,21480.0
2021-10-29,,20870.0
2021-11-01,,21990.0
2021-11-02,,21630.0
2021-11-03,,21880.0
2021-11-04,,22080.0
2021-11-05,,27430.0
2021-11-08,,28670.0
2021-11-09,,26910.0
2021-11-10,,26250.0
2021-11-11,,13910.0
2021-11-12,,11430.0
2021-11-15,,10230.0
2021-11-16,,10630.0
2021-11-17,,9130.0
2021-11-18,,7380.0
2021-11-19,,5800.0
2021-11-22,,5960.0
2021-11-23,,2830.0
2021-11-24,,3140.0
2021-11-26,,-90.0
2021-11-29,,-390.0
2021-11-30,,-3300.0
2021-12-01,,-6050.0
2021-12-02,,-1000.0
2021-12-03,,-1980.0
2021-12-06,,2170.0
2021-12-07,,2610.0
2021-12-08,,5140.0
2021-12-09,,4740.0
2021-12-10,,4510.0
2021-12-13,,2230.0
2021-12-14,,900.0
2021-12-15,,2200.0
2021-12-16,,550.0
2021-12-17,,560.0
2021-12-20,,-1730.0
2021-12-21,,2850.0
2021-12-22,,3680.0
2021-12-23,,5430.0
2021-12-27,,4600.0
2021-12-28,,7000.0
2021-12-29,,6670.0
2021-12-30,,7730.0
2021-12-31,,6690.0
